id,label,serial,status,configuration,purchase_date,purchase_cost,location,detector_model,firmware,notes,created_at,updated_at,location_updated
1083,ALRP132,187141D21,OP,19,,,95,21,,,2026-08-30 00:09:00.801905+00:00,2026-08-30 00:09:00.801913+00:00,2026-08-30 00:08:59.977962+00:00
1087,ALRP133,2.40204E+029,OP,19,,,95,21,,,2026-08-30 00:09:00.804880+00:00,2026-08-30 00:09:00.804888+00:00,2026-08-30 00:08:59.977962+00:00
1103,ALRP137,187150-D21,OP,19,,,95,21,6,,2026-08-30 00:09:00.816839+00:00,2026-08-30 00:09:00.816847+00:00,2026-08-30 00:08:59.977962+00:00
1082,ALRP145,240200-E24,OP,19,,,95,21,6,,2026-08-30 00:09:00.801160+00:00,2026-08-30 00:09:00.801169+00:00,2026-08-30 00:08:59.977962+00:00
1098,ALRP146,240197-E24,OP,19,,,95,21,6,,2026-08-30 00:09:00.813107+00:00,2026-08-30 00:09:00.813115+00:00,2026-08-30 00:08:59.977962+00:00
1089,ALRP147,241173F24,OP,19,,,95,21,6,,2026-08-30 00:09:00.806366+00:00,2026-08-30 00:09:00.806374+00:00,2026-08-30 00:08:59.977962+00:00
1091,ALRP148,243520g24,OP,19,,,95,21,6,,2026-08-30 00:09:00.807872+00:00,2026-08-30 00:09:00.807880+00:00,2026-08-30 00:08:59.977962+00:00
1090,ALRP149,227744I24,OP,19,,,95,21,6,,2026-08-30 00:09:00.807155+00:00,2026-08-30 00:09:00.807162+00:00,2026-08-30 00:08:59.977962+00:00
1104,ALRP154,243517-G24,OP,19,,,95,21,6,,2026-08-30 00:09:00.817576+00:00,2026-08-30 00:09:00.817584+00:00,2026-08-30 00:08:59.977962+00:00
1088,ALRP156,241172,OP,19,,,95,21,,,2026-08-30 00:09:00.805621+00:00,2026-08-30 00:09:00.805629+00:00,2026-08-30 00:08:59.977962+00:00
1102,ALRP157,200643-A23,OP,19,,,95,21,6,,2026-08-30 00:09:00.816095+00:00,2026-08-30 00:09:00.816103+00:00,2026-08-30 00:08:59.977962+00:00
1105,ALRP159,240203-E24,OP,19,,,95,21,6,,2026-08-30 00:09:00.818302+00:00,2026-08-30 00:09:00.818310+00:00,2026-08-30 00:08:59.977962+00:00
1099,ALRP160,200676-A23,OP,19,,,95,21,6,,2026-08-30 00:09:00.813863+00:00,2026-08-30 00:09:00.813871+00:00,2026-08-30 00:08:59.977962+00:00
1085,ALRP167,241163,OP,19,,,95,21,,,2026-08-30 00:09:00.803394+00:00,2026-08-30 00:09:00.803402+00:00,2026-08-30 00:08:59.977962+00:00
1101,ALRP168,241156-F24,OP,19,,,95,21,6,,2026-08-30 00:09:00.815346+00:00,2026-08-30 00:09:00.815355+00:00,2026-08-30 00:08:59.977962+00:00
1100,ALRP169,243516-G24,OP,19,,,95,21,6,,2026-08-30 00:09:00.814598+00:00,2026-08-30 00:09:00.814606+00:00,2026-08-30 00:08:59.977962+00:00
1106,AM30,WO1B00000781,OP,11,,,95,7,1.12,,2026-08-30 00:09:00.819026+00:00,2026-08-30 00:09:00.819034+00:00,2026-08-30 00:08:59.977962+00:00
651,AM31,W01B00001749,OP,11,,,95,7,1.12,,2026-08-30 00:09:00.481618+00:00,2026-08-30 00:09:00.481626+00:00,2026-08-30 00:08:59.977962+00:00
652,AM32,W01B00001747,OP,11,,,95,7,1.12,,2026-08-30 00:09:00.482375+00:00,2026-08-30 00:09:00.482383+00:00,2026-08-30 00:08:59.977962+00:00
653,AM33,WO1B00001748,OP,11,,,95,7,1.12,,2026-08-30 00:09:00.483095+00:00,2026-08-30 00:09:00.483103+00:00,2026-08-30 00:08:59.977962+00:00
654,AM34,W01B00001746,OP,11,,,95,7,1.12,,2026-08-30 00:09:00.483842+00:00,2026-08-30 00:09:00.483850+00:00,2026-08-30 00:08:59.977962+00:00
655,AM35,W01B00002609,OP,11,,,95,7,1.12,,2026-08-30 00:09:00.484577+00:00,2026-08-30 00:09:00.484585+00:00,2026-08-30 00:08:59.977962+00:00
656,AM36,W01B00002607,OP,11,,,95,7,1.12,,2026-08-30 00:09:00.485308+00:00,2026-08-30 00:09:00.485323+00:00,2026-08-30 00:08:59.977962+00:00
1086,AM37,W01B00002603,OP,11,,,95,7,1.12,,2026-08-30 00:09:00.804136+00:00,2026-08-30 00:09:00.804144+00:00,2026-08-30 00:08:59.977962+00:00
1107,AM38,WO1B00002606,OP,11,,,95,7,1.12,,2026-08-30 00:09:00.819772+00:00,2026-08-30 00:09:00.819780+00:00,2026-08-30 00:08:59.977962+00:00
657,AM39,W01B00002602,OP,11,,,95,7,1.12,,2026-08-30 00:09:00.486301+00:00,2026-08-30 00:09:00.486309+00:00,2026-08-30 00:08:59.977962+00:00
658,AM40,W01B00002480,OP,11,,,95,7,1.12,,2026-08-30 00:09:00.487090+00:00,2026-08-30 00:09:00.487098+00:00,2026-08-30 00:08:59.977962+00:00
