id,manufacturer,detector_type,supplier,label,part_number
7,HW,AM,AE,AreaRAE Plus,
14,HW,CS,AE,AutoRAE MicroRAE,
13,HW,CS,AE,AutoRAE Controller,
12,MI,DI,AE,MiniRadiac,
8,MI,DI,AE,DMC 3000,
16,PR,FP,AE,AP4C,
18,IN,GC,,Hapsite,
15,SM,IM,AE,LCD3.3,
11,DE,LT,,Dell 5430,
1,HW,NM,AE,MicroRAE,
10,AU,NM,,6150 ad-t,
17,TS,PC,AE,DustTrak,
4,HW,PI,AE,ppbRAE 3000,
3,HW,PI,AE,MiniRAE 3000,
22,DR,PM,DR,XAM8000,8325800
2,HW,PM,AE,MultiRAE,
21,MS,PM,MS,ALTAIR 5X,
5,HW,RM,AE,RAELink Mesh,
6,HW,RM,AE,RAELink,
9,HE,SM,,Cypher 5000,
