id,detector_model,label,sensor_gases
1,1,Standard,"CO,HC,LE,O2"
2,1,Rescue,"CO,HS,LE,O2"
3,2,Yellow,"CO,HS,LE,O2"
4,2,Red,"CL,NH,PH,LE,O2"
5,2,Blue,"HC,NO,SO,LE,O2"
6,2,Black,"CO,VO,HS,LE,O2"
7,3,Standard,VO
8,4,Standard,VO
9,5,Standard,
10,6,Standard,
11,7,Standard,"CO,HS,LE,O2"
12,8,Standard,
13,10,Standard,
14,9,Standard,
15,11,Standard,
16,12,Standard,
17,13,Standard,
18,14,Standard,
19,21,Orange,"CO,HS,LE,O2,VO"
20,21,Green,"LE,O2,VO,HC"
21,22,TOXIC,"HC,CL,PH"
22,22,FIRE,"SO,NO,C2"
23,22,VOLATILE,NH
