id,maintenance_type,status,detector,date_due,date_performed,performed_by,notes,created_at,updated_at
807,BT,SC,390,2028-12-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
701,BT,SC,446,2028-09-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
787,BT,SC,335,2028-05-31,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
789,BT,SC,405,2028-05-31,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
809,BT,SC,18,2028-05-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
803,BT,SC,94,2028-05-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
797,BT,SC,141,2028-05-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
795,BT,SC,156,2028-05-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
791,BT,SC,399,2028-05-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
740,BT,SC,33,2028-04-08,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
753,BT,SC,54,2028-04-08,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
751,BT,SC,381,2028-04-08,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
713,BT,SC,42,2028-03-30,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
709,BT,SC,302,2028-03-27,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
679,BT,SC,9,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
673,BT,SC,15,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
653,BT,SC,38,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
664,BT,SC,50,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
694,BT,SC,148,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
646,BT,SC,167,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
675,BT,SC,189,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
690,BT,SC,193,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
643,BT,SC,205,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
703,BT,SC,220,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
656,BT,SC,229,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
650,BT,SC,311,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
670,BT,SC,327,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
659,BT,SC,366,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
662,BT,SC,398,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
667,BT,SC,439,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
683,BT,SC,474,2028-03-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
640,BT,SC,211,2028-03-25,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
707,BT,SC,364,2028-03-01,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
801,BT,SC,51,2028-02-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
705,BT,SC,236,2028-02-02,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
799,BT,SC,309,2027-12-31,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
793,FC,SC,8,2027-12-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
805,BT,SC,113,2027-12-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
677,BT,SC,413,2027-09-25,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
811,BT,SC,112,2027-08-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
280,SV,SC,344,2027-05-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
715,MS,CL,612,2027-05-03,2026-09-03,,"Replaced O2 sensor, serviced and calibrated",2026-09-09 01:47:30,2026-09-09 01:47:30
887,MS,SC,612,2027-03-02,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
879,SV,SC,1105,2027-02-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
855,SV,SC,613,2027-02-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
857,SV,SC,630,2027-02-16,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
877,SV,SC,1104,2027-02-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
875,SV,SC,1103,2027-02-09,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
873,SV,SC,1102,2027-02-09,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
856,SV,SC,634,2027-02-09,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
865,SV,SC,1098,2027-02-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
867,SV,SC,1099,2027-02-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
871,SV,SC,1101,2027-02-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
869,SV,SC,1100,2027-02-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
883,SV,SC,657,2027-02-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
886,SV,SC,661,2027-02-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
885,SV,SC,662,2027-02-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
884,SV,SC,674,2027-02-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
863,SV,SC,1097,2027-02-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
861,SV,SC,1096,2027-02-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
859,SV,SC,1095,2027-02-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
882,SV,SC,655,2027-02-02,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
881,SV,SC,1106,2027-01-14,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
852,SV,SC,633,2026-12-31,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
853,SV,SC,628,2026-12-29,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
854,SV,SC,595,2026-12-25,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
849,SV,SC,1093,2026-12-15,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
847,SV,SC,1092,2026-12-15,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
851,SV,SC,1094,2026-12-15,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
841,SV,SC,1089,2026-12-14,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
845,SV,SC,1091,2026-12-14,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
843,SV,SC,1090,2026-12-14,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
52,SV,SC,59,2026-12-07,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
106,SV,SC,130,2026-12-07,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
111,SV,SC,136,2026-12-07,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
210,SV,SC,258,2026-12-07,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
224,SV,SC,278,2026-12-07,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
245,SV,SC,303,2026-12-07,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
365,SV,SC,432,2026-12-07,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
442,SV,SC,581,2026-12-07,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
126,SV,SC,156,2026-12-05,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
147,SV,SC,184,2026-12-05,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
182,SV,SC,225,2026-12-05,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
258,SV,SC,318,2026-12-05,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
305,SV,SC,370,2026-12-05,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
837,SV,SC,1087,2026-12-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
839,SV,SC,1088,2026-12-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
835,SV,SC,587,2026-12-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
834,SV,SC,627,2026-12-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
816,SV,SC,1083,2026-11-30,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
813,SV,SC,614,2026-11-28,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
826,SV,SC,1085,2026-11-27,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
814,SV,SC,617,2026-11-27,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
827,SV,SC,670,2026-11-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
812,SV,SC,346,2026-11-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
817,SV,SC,656,2026-11-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
832,SV,SC,1086,2026-11-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
820,SV,SC,1084,2026-11-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
819,SV,CL,1084,2026-11-19,2026-05-20,,"Serviced Unit, Checked Config, Cleaned lamp, PID, and pump, Replaced Filters, manually Spanned. All tests ok.",2026-09-09 01:47:30,2026-09-09 01:47:30
828,SV,SC,607,2026-11-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
821,SV,SC,618,2026-11-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
829,SV,SC,615,2026-11-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
830,SV,SC,610,2026-11-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
822,SV,SC,623,2026-11-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
823,SV,SC,668,2026-11-17,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
824,MS,SC,673,2026-11-17,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
833,SV,SC,626,2026-11-17,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
785,SV,CL,626,2026-11-12,2026-05-18,,"Service unit, Cleaned pid, lamp and pump. Replaced filters, manually spanned. all test ok",2026-09-09 01:47:30,2026-09-09 01:47:30
780,SV,SC,583,2026-11-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
548,SV,SC,707,2026-11-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
546,SV,SC,705,2026-11-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
543,SV,SC,702,2026-11-10,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
593,BT,SC,702,2026-11-10,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
777,MS,SC,659,2026-11-04,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
779,MS,SC,664,2026-11-04,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
773,SV,SC,414,2026-11-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
772,SV,SC,417,2026-11-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
774,SV,SC,565,2026-11-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
77,SV,SC,93,2026-11-02,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
775,MS,SC,659,2026-11-01,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
781,SV,SC,608,2026-10-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
782,SV,SC,621,2026-10-26,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
770,SV,SC,54,2026-10-22,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
783,SV,SC,616,2026-10-21,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
771,SV,SC,179,2026-10-21,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
769,SV,SC,675,2026-10-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
784,SV,SC,631,2026-10-19,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
765,SV,CL,657,2026-10-14,2026-08-04,,"Serviced Unit, Checked Config, Replaced filters and Oring, All tests OK",2026-09-09 01:47:30,2026-09-09 01:47:30
764,SV,CL,661,2026-10-14,2026-08-04,,"Serviced Unit, Checked Config, Replaced filters and Oring, All tests OK",2026-09-09 01:47:30,2026-09-09 01:47:30
766,SV,CL,662,2026-10-14,2026-08-04,,"Serviced Unit, Checked Config, Replaced filters and Oring, All tests OK",2026-09-09 01:47:30,2026-09-09 01:47:30
763,SV,CL,674,2026-10-14,2026-08-04,,"Serviced Unit, Checked Config, Replaced filters and Oring, All tests OK",2026-09-09 01:47:30,2026-09-09 01:47:30
762,SV,SC,37,2026-10-12,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
761,SV,SC,73,2026-10-12,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
756,SV,SC,203,2026-10-12,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
759,SV,SC,304,2026-10-12,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
755,SV,SC,322,2026-10-12,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
758,SV,SC,373,2026-10-12,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
754,SV,SC,406,2026-10-12,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
768,SV,SC,423,2026-10-12,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
757,SV,SC,453,2026-10-12,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
760,SV,SC,528,2026-10-12,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
553,SV,SC,726,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
554,SV,SC,727,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
556,SV,SC,729,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
559,SV,SC,732,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
560,SV,SC,733,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
589,BT,SC,698,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
539,SV,SC,698,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
592,BT,SC,701,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
542,SV,SC,701,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
540,SV,SC,699,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
590,BT,SC,699,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
544,SV,SC,703,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
594,BT,SC,703,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
541,SV,SC,700,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
591,BT,SC,700,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
538,SV,SC,697,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
588,BT,SC,697,2026-10-11,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
744,SV,SC,589,2026-10-08,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
738,SV,SC,33,2026-10-08,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
741,SV,SC,74,2026-10-08,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
747,SV,SC,86,2026-10-08,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
745,SV,SC,103,2026-10-08,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
743,SV,SC,377,2026-10-08,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
742,SV,SC,450,2026-10-08,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
748,SV,SC,69,2026-10-07,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
746,SV,SC,293,2026-10-07,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
735,SV,SC,343,2026-10-07,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
749,SV,SC,381,2026-10-07,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
734,SV,SC,553,2026-10-07,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
736,SV,SC,554,2026-10-07,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
733,SV,SC,567,2026-10-07,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
732,SV,SC,622,2026-10-07,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
737,SV,SC,556,2026-10-06,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
494,SV,SC,653,2026-10-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
497,SV,CL,656,2026-10-03,2026-05-20,,"Serviced Unit, Checked config, Replaced Filters and oring, Cleaned lamp, pid, and pump, calibrated, all tests OK",2026-09-09 01:47:30,2026-09-09 01:47:30
498,SV,CL,657,2026-10-03,2026-04-15,,"Serviced Unit, Reset Config, Cleaned Lamp, PID sensor and Pump. Replaced filters, Manually Spanned, all ok",2026-09-09 01:47:30,2026-09-09 01:47:30
76,SV,SC,91,2026-10-03,,,,2026-09-09 01:47:30,2026-09-09 01:47:30
