id,maintenance,task_type
1,466,CB
2,466,FC
3,636,CB
4,638,CB
5,170,CB
6,170,BT
7,640,BT
8,165,CB
9,642,BT
10,133,CB
12,647,BT
13,252,CB
14,649,BT
15,35,CB
16,652,BT
17,185,CB
18,655,BT
19,301,CB
20,658,BT
21,331,CB
22,661,BT
23,663,BT
24,371,CB
25,666,BT
26,266,CB
28,669,BT
29,13,CB
30,672,BT
31,674,BT
32,346,CB
33,677,BT
34,678,BT
35,8,CB
36,406,CB
37,682,BT
38,179,CB
39,244,CB
40,686,CB
42,155,CB
43,689,BT
44,691,CB
45,121,CB
46,693,BT
47,125,CB
48,501,CB
49,467,CB
50,495,CB
51,378,CB
52,700,BT
53,702,BT
54,704,BT
55,706,BT
56,708,BT
57,480,CB
58,481,CB
59,712,BT
60,105,CB
61,505,CB
62,238,CB
63,249,CB
64,21,CB
66,181,CB
67,225,CB
68,67,CB
69,725,CB
70,407,CB
71,72,CB
72,70,CB
73,327,CB
74,390,CB
75,479,CB
76,417,CB
77,279,CB
78,418,CB
79,420,CB
80,30,CB
82,739,BT
83,62,CB
84,382,CB
85,634,CB
86,448,CB
87,85,CB
88,235,CB
89,73,CB
90,58,CB
91,314,CB
92,750,BT
93,752,BT
94,339,CB
95,261,CB
96,163,CB
97,385,CB
98,308,CB
99,246,CB
100,413,CB
101,61,CB
102,34,CB
103,515,CB
104,502,CB
105,498,CB
106,503,CB
107,500,CB
108,356,CB
109,516,CB
110,48,CB
111,142,CB
112,625,CB
113,347,CB
114,428,CB
115,767,CB
116,776,CB
117,778,CB
118,622,CB
119,465,CB
120,478,CB
121,473,CB
122,488,CB
123,483,CB
124,786,BT
125,788,BT
126,790,BT
127,792,BT
128,794,BT
129,796,BT
130,798,BT
131,800,BT
132,802,BT
133,804,BT
134,806,BT
135,808,BT
136,810,BT
137,282,CB
138,282,SN
139,282,BT
140,471,CB
141,474,CB
142,815,CB
143,497,CB
144,818,CB
145,819,CB
146,475,CB
147,710,CB
148,509,CB
149,514,CB
150,825,CB
151,511,CB
152,464,CB
153,464,RP
154,464,FC
155,472,CB
156,697,CB
157,697,FC
158,697,RP
159,831,CB
160,785,CB
161,484,CB
162,484,FC
163,446,CB
164,446,FC
165,836,CB
166,836,FC
167,838,CB
168,838,FC
169,840,CB
170,840,FC
171,842,CB
172,842,FC
173,844,CB
174,844,FC
175,846,CB
176,848,CB
177,850,CB
178,490,CB
179,490,FC
180,485,CB
181,485,FC
182,454,CB
183,470,CB
184,470,SN
185,470,FC
186,491,CB
187,491,FC
188,487,CB
189,487,FC
190,858,CB
191,860,CB
192,862,CB
193,864,CB
194,864,FC
195,866,CB
196,866,FC
197,868,CB
198,868,FC
199,870,CB
200,870,FC
201,872,CB
202,872,FC
203,874,CB
204,874,FC
205,876,CB
206,876,FC
207,878,CB
208,878,FC
209,880,CB
210,880,SN
211,880,FC
212,496,CB
213,496,FC
214,765,CB
215,763,CB
216,763,FC
217,766,CB
218,766,FC
219,764,CB
220,764,FC
221,715,SN
