id,detector,sensor,sensorgas,is_current
1,1,1095,CO,True
2,1,1641,HC,True
3,1,1,LE,True
4,1,551,O2,True
5,2,1096,CO,True
6,2,1642,HC,True
7,2,2,LE,True
8,2,552,O2,True
9,3,1097,CO,True
10,3,1643,HC,True
11,3,3,LE,True
12,3,553,O2,True
13,4,1098,CO,True
14,4,1644,HC,True
15,4,4,LE,True
16,4,554,O2,True
17,5,,CO,True
18,5,,HC,True
19,5,,LE,True
20,5,,O2,True
21,6,1099,CO,True
22,6,1645,HC,True
23,6,5,LE,True
24,6,555,O2,True
25,7,1100,CO,True
26,7,1646,HC,True
27,7,6,LE,True
28,7,556,O2,True
29,8,2458,CO,True
30,8,2453,HC,True
31,8,2457,LE,True
32,8,557,O2,True
33,9,1102,CO,True
34,9,1648,HC,True
35,9,8,LE,True
36,9,558,O2,True
37,10,1103,CO,True
38,10,1649,HC,True
39,10,9,LE,True
40,10,559,O2,True
41,11,1104,CO,True
42,11,1650,HC,True
43,11,10,LE,True
44,11,560,O2,True
45,12,1105,CO,True
46,12,1651,HC,True
47,12,11,LE,True
48,12,561,O2,True
49,13,1106,CO,True
50,13,1652,HC,True
51,13,12,LE,True
52,13,562,O2,True
53,14,1107,CO,True
54,14,1653,HC,True
55,14,13,LE,True
56,14,563,O2,True
57,15,1108,CO,True
58,15,1654,HC,True
59,15,14,LE,True
60,15,564,O2,True
61,16,1109,CO,True
62,16,1655,HC,True
63,16,15,LE,True
64,16,565,O2,True
65,17,1110,CO,True
66,17,1656,HC,True
67,17,16,LE,True
68,17,566,O2,True
69,18,2488,CO,True
70,18,2489,HC,True
71,18,2487,LE,True
72,18,567,O2,True
73,19,1112,CO,True
74,19,1658,HC,True
75,19,18,LE,True
76,19,568,O2,True
77,20,1113,CO,True
78,20,,HS,True
79,20,19,LE,True
80,20,569,O2,True
81,21,1114,CO,True
82,21,1659,HC,True
83,21,20,LE,True
84,21,570,O2,True
85,22,1115,CO,True
86,22,1660,HC,True
87,22,21,LE,True
88,22,571,O2,True
89,23,1116,CO,True
90,23,1661,HC,True
91,23,22,LE,True
92,23,572,O2,True
93,24,1117,CO,True
94,24,1662,HC,True
95,24,23,LE,True
96,24,573,O2,True
97,25,1118,CO,True
98,25,1663,HC,True
99,25,24,LE,True
100,25,574,O2,True
101,26,1119,CO,True
102,26,1664,HC,True
103,26,25,LE,True
104,26,575,O2,True
105,27,1120,CO,True
106,27,1665,HC,True
107,27,26,LE,True
108,27,576,O2,True
109,28,1121,CO,True
110,28,1666,HC,True
111,28,27,LE,True
112,28,577,O2,True
113,29,1122,CO,True
114,29,1667,HC,True
115,29,28,LE,True
116,29,578,O2,True
117,30,1123,CO,True
118,30,1668,HC,True
119,30,29,LE,True
120,30,579,O2,True
121,31,,CO,True
122,31,,HC,True
123,31,,LE,True
124,31,,O2,True
125,32,1124,CO,True
126,32,1669,HC,True
127,32,30,LE,True
128,32,580,O2,True
129,33,1125,CO,True
130,33,1670,HC,True
131,33,31,LE,True
132,33,581,O2,True
133,34,1126,CO,True
134,34,1671,HC,True
135,34,32,LE,True
136,34,582,O2,True
137,35,1127,CO,True
138,35,1672,HC,True
139,35,33,LE,True
140,35,583,O2,True
141,36,1128,CO,True
142,36,1673,HC,True
143,36,34,LE,True
144,36,584,O2,True
145,37,1129,CO,True
146,37,1674,HC,True
147,37,35,LE,True
148,37,585,O2,True
149,38,1130,CO,True
150,38,1675,HC,True
151,38,36,LE,True
152,38,586,O2,True
153,39,1131,CO,True
154,39,1676,HC,True
155,39,37,LE,True
156,39,587,O2,True
157,40,1132,CO,True
158,40,1677,HC,True
159,40,38,LE,True
160,40,588,O2,True
161,41,1133,CO,True
162,41,1678,HC,True
163,41,39,LE,True
164,41,589,O2,True
165,42,1134,CO,True
166,42,1679,HC,True
167,42,40,LE,True
168,42,590,O2,True
169,43,1135,CO,True
170,43,1680,HC,True
171,43,41,LE,True
172,43,591,O2,True
173,44,1136,CO,True
174,44,1681,HC,True
175,44,42,LE,True
176,44,592,O2,True
177,45,1137,CO,True
178,45,1682,HC,True
179,45,43,LE,True
180,45,593,O2,True
181,46,1138,CO,True
182,46,1683,HC,True
183,46,44,LE,True
184,46,594,O2,True
185,47,1139,CO,True
186,47,1684,HC,True
187,47,45,LE,True
188,47,595,O2,True
189,48,1140,CO,True
190,48,1685,HC,True
191,48,46,LE,True
192,48,596,O2,True
193,49,1141,CO,True
194,49,1686,HC,True
195,49,47,LE,True
196,49,597,O2,True
197,50,1142,CO,True
198,50,1687,HC,True
199,50,48,LE,True
200,50,598,O2,True
201,51,2472,CO,True
202,51,2435,HC,True
203,51,2471,LE,True
204,51,599,O2,True
205,52,1144,CO,True
206,52,1689,HC,True
207,52,50,LE,True
208,52,600,O2,True
209,53,1145,CO,True
210,53,1690,HC,True
211,53,51,LE,True
212,53,601,O2,True
213,54,1146,CO,True
214,54,2445,HC,True
215,54,52,LE,True
216,54,2444,O2,True
217,55,1147,CO,True
218,55,1692,HC,True
219,55,53,LE,True
220,55,603,O2,True
221,56,1148,CO,True
222,56,1693,HC,True
223,56,54,LE,True
224,56,604,O2,True
225,57,1149,CO,True
226,57,1694,HC,True
227,57,55,LE,True
228,57,605,O2,True
229,58,1150,CO,True
230,58,1695,HC,True
231,58,56,LE,True
232,58,606,O2,True
233,59,1151,CO,True
234,59,1696,HC,True
235,59,57,LE,True
236,59,607,O2,True
237,60,1152,CO,True
238,60,1697,HC,True
239,60,58,LE,True
240,60,608,O2,True
241,61,,CO,True
242,61,,HC,True
243,61,,LE,True
244,61,,O2,True
245,62,1153,CO,True
246,62,1698,HC,True
247,62,59,LE,True
248,62,609,O2,True
249,63,1154,CO,True
250,63,1699,HC,True
251,63,60,LE,True
252,63,610,O2,True
253,64,,CO,True
254,64,,HC,True
255,64,,LE,True
256,64,,O2,True
257,65,1155,CO,True
258,65,1700,HC,True
259,65,61,LE,True
260,65,611,O2,True
261,66,1156,CO,True
262,66,1701,HC,True
263,66,62,LE,True
264,66,612,O2,True
265,67,,CO,True
266,67,,HC,True
267,67,,LE,True
268,67,,O2,True
269,68,1157,CO,True
270,68,1702,HC,True
271,68,63,LE,True
272,68,613,O2,True
273,69,1158,CO,True
274,69,1703,HC,True
275,69,64,LE,True
276,69,614,O2,True
277,70,1159,CO,True
278,70,1704,HC,True
279,70,65,LE,True
280,70,615,O2,True
281,71,1160,CO,True
282,71,1705,HC,True
283,71,66,LE,True
284,71,616,O2,True
285,72,1161,CO,True
286,72,1706,HC,True
287,72,67,LE,True
288,72,617,O2,True
289,73,1162,CO,True
290,73,1707,HC,True
291,73,68,LE,True
292,73,618,O2,True
293,74,1163,CO,True
294,74,1708,HC,True
295,74,69,LE,True
296,74,619,O2,True
297,75,1164,CO,True
298,75,1709,HC,True
299,75,70,LE,True
300,75,620,O2,True
301,76,1165,CO,True
302,76,1710,HC,True
303,76,71,LE,True
304,76,621,O2,True
305,77,1166,CO,True
306,77,1711,HC,True
307,77,72,LE,True
308,77,622,O2,True
309,78,1167,CO,True
310,78,1712,HC,True
311,78,73,LE,True
312,78,623,O2,True
313,79,1168,CO,True
314,79,1713,HC,True
315,79,74,LE,True
316,79,624,O2,True
317,80,1169,CO,True
318,80,1714,HC,True
319,80,75,LE,True
320,80,625,O2,True
321,81,1170,CO,True
322,81,1715,HC,True
323,81,76,LE,True
324,81,626,O2,True
325,82,1171,CO,True
326,82,1716,HC,True
327,82,77,LE,True
328,82,627,O2,True
329,83,1172,CO,True
330,83,2123,HS,True
331,83,78,LE,True
332,83,628,O2,True
333,84,1173,CO,True
334,84,1717,HC,True
335,84,79,LE,True
336,84,629,O2,True
337,85,1174,CO,True
338,85,1718,HC,True
339,85,80,LE,True
340,85,,O2,True
341,86,1175,CO,True
342,86,1719,HC,True
343,86,81,LE,True
344,86,630,O2,True
345,87,1176,CO,True
346,87,1720,HC,True
347,87,82,LE,True
348,87,631,O2,True
349,88,1177,CO,True
350,88,1721,HC,True
351,88,83,LE,True
352,88,632,O2,True
353,89,1178,CO,True
354,89,1722,HC,True
355,89,84,LE,True
356,89,633,O2,True
357,90,1179,CO,True
358,90,1723,HC,True
359,90,85,LE,True
360,90,634,O2,True
361,91,1180,CO,True
362,91,1724,HC,True
363,91,86,LE,True
364,91,635,O2,True
365,92,1181,CO,True
366,92,1725,HC,True
367,92,87,LE,True
368,92,636,O2,True
369,93,1182,CO,True
370,93,1726,HC,True
371,93,88,LE,True
372,93,637,O2,True
373,94,2474,CO,True
374,94,2475,HC,True
375,94,2473,LE,True
376,94,638,O2,True
377,95,1184,CO,True
378,95,1728,HC,True
379,95,90,LE,True
380,95,639,O2,True
381,96,1185,CO,True
382,96,1729,HC,True
383,96,91,LE,True
384,96,640,O2,True
385,97,1186,CO,True
386,97,1730,HC,True
387,97,92,LE,True
388,97,641,O2,True
389,98,1187,CO,True
390,98,1731,HC,True
391,98,93,LE,True
392,98,642,O2,True
393,99,1188,CO,True
394,99,1732,HC,True
395,99,94,LE,True
396,99,643,O2,True
397,100,1189,CO,True
398,100,1733,HC,True
399,100,95,LE,True
400,100,644,O2,True
401,101,1190,CO,True
402,101,1734,HC,True
403,101,96,LE,True
404,101,645,O2,True
405,102,1191,CO,True
406,102,1735,HC,True
407,102,97,LE,True
408,102,646,O2,True
409,103,1192,CO,True
410,103,1736,HC,True
411,103,98,LE,True
412,103,647,O2,True
413,104,1193,CO,True
414,104,1737,HC,True
415,104,99,LE,True
416,104,648,O2,True
417,105,1194,CO,True
418,105,1738,HC,True
419,105,100,LE,True
420,105,649,O2,True
421,106,1195,CO,True
422,106,1739,HC,True
423,106,101,LE,True
424,106,650,O2,True
425,107,1196,CO,True
426,107,1740,HC,True
427,107,102,LE,True
428,107,651,O2,True
429,108,1197,CO,True
430,108,1741,HC,True
431,108,103,LE,True
432,108,652,O2,True
433,109,1198,CO,True
434,109,1742,HC,True
435,109,104,LE,True
436,109,653,O2,True
437,110,1199,CO,True
438,110,1743,HC,True
439,110,105,LE,True
440,110,654,O2,True
441,111,1200,CO,True
442,111,1744,HC,True
443,111,106,LE,True
444,111,655,O2,True
445,112,2491,CO,True
446,112,1745,HC,True
447,112,2490,LE,True
448,112,656,O2,True
449,113,2477,CO,True
450,113,2478,HC,True
451,113,2476,LE,True
452,113,657,O2,True
453,114,1203,CO,True
454,114,1747,HC,True
455,114,109,LE,True
456,114,658,O2,True
457,115,1204,CO,True
458,115,1748,HC,True
459,115,110,LE,True
460,115,659,O2,True
461,116,1205,CO,True
462,116,1749,HC,True
463,116,111,LE,True
464,116,660,O2,True
465,117,1206,CO,True
466,117,1750,HC,True
467,117,112,LE,True
468,117,661,O2,True
469,118,1207,CO,True
470,118,1751,HC,True
471,118,113,LE,True
472,118,662,O2,True
473,119,1208,CO,True
474,119,1752,HC,True
475,119,114,LE,True
476,119,663,O2,True
477,120,,CO,True
478,120,,HC,True
479,120,,LE,True
480,120,,O2,True
481,121,1209,CO,True
482,121,1753,HC,True
483,121,115,LE,True
484,121,664,O2,True
485,122,1210,CO,True
486,122,1754,HC,True
487,122,116,LE,True
488,122,665,O2,True
489,123,1211,CO,True
490,123,1755,HC,True
491,123,117,LE,True
492,123,666,O2,True
493,124,1212,CO,True
494,124,1756,HC,True
495,124,118,LE,True
496,124,667,O2,True
497,125,1213,CO,True
498,125,1757,HC,True
499,125,119,LE,True
500,125,668,O2,True
501,126,1214,CO,True
502,126,,HC,True
503,126,120,LE,True
504,126,669,O2,True
505,127,1215,CO,True
506,127,1758,HC,True
507,127,121,LE,True
508,127,670,O2,True
509,128,1216,CO,True
510,128,1759,HC,True
511,128,122,LE,True
512,128,671,O2,True
513,129,1217,CO,True
514,129,1760,HC,True
515,129,123,LE,True
516,129,672,O2,True
517,130,1218,CO,True
518,130,1761,HC,True
519,130,124,LE,True
520,130,673,O2,True
521,131,1219,CO,True
522,131,1762,HC,True
523,131,125,LE,True
524,131,674,O2,True
525,132,1220,CO,True
526,132,1763,HC,True
527,132,126,LE,True
528,132,675,O2,True
529,133,1221,CO,True
530,133,1764,HC,True
531,133,127,LE,True
532,133,676,O2,True
533,134,1222,CO,True
534,134,1765,HC,True
535,134,128,LE,True
536,134,677,O2,True
537,135,1223,CO,True
538,135,1766,HC,True
539,135,129,LE,True
540,135,678,O2,True
541,136,1224,CO,True
542,136,1767,HC,True
543,136,130,LE,True
544,136,679,O2,True
545,137,1225,CO,True
546,137,1768,HC,True
547,137,131,LE,True
548,137,680,O2,True
549,138,,CO,True
550,138,,HC,True
551,138,,LE,True
552,138,,O2,True
553,139,1226,CO,True
554,139,1769,HC,True
555,139,132,LE,True
556,139,681,O2,True
557,140,1227,CO,True
558,140,1770,HC,True
559,140,133,LE,True
560,140,682,O2,True
561,141,2466,CO,True
562,141,2467,HC,True
563,141,2465,LE,True
564,141,683,O2,True
565,142,1229,CO,True
566,142,1772,HC,True
567,142,135,LE,True
568,142,684,O2,True
569,143,1230,CO,True
570,143,1773,HC,True
571,143,136,LE,True
572,143,685,O2,True
573,144,1231,CO,True
574,144,1774,HC,True
575,144,137,LE,True
576,144,686,O2,True
577,145,1232,CO,True
578,145,1775,HC,True
579,145,138,LE,True
580,145,687,O2,True
581,146,1233,CO,True
582,146,1776,HC,True
583,146,139,LE,True
584,146,688,O2,True
585,147,1234,CO,True
586,147,1777,HC,True
587,147,140,LE,True
588,147,689,O2,True
589,148,1235,CO,True
590,148,1778,HC,True
591,148,141,LE,True
592,148,690,O2,True
593,149,,CO,True
594,149,,HC,True
595,149,,LE,True
596,149,,O2,True
597,150,1236,CO,True
598,150,1779,HC,True
599,150,142,LE,True
600,150,691,O2,True
601,151,1237,CO,True
602,151,1780,HC,True
603,151,143,LE,True
604,151,692,O2,True
605,152,1238,CO,True
606,152,1781,HC,True
607,152,144,LE,True
608,152,693,O2,True
609,153,1239,CO,True
610,153,1782,HC,True
611,153,145,LE,True
612,153,694,O2,True
613,154,1240,CO,True
614,154,1783,HC,True
615,154,146,LE,True
616,154,695,O2,True
617,155,1241,CO,True
618,155,1784,HC,True
619,155,147,LE,True
620,155,696,O2,True
621,156,2463,CO,True
622,156,2464,HC,True
623,156,2462,LE,True
624,156,697,O2,True
625,157,1243,CO,True
626,157,1786,HC,True
627,157,149,LE,True
628,157,698,O2,True
629,158,,CO,True
630,158,,HC,True
631,158,,LE,True
632,158,,O2,True
633,159,,CO,True
634,159,,HC,True
635,159,,LE,True
636,159,,O2,True
637,160,1244,CO,True
638,160,1787,HC,True
639,160,150,LE,True
640,160,699,O2,True
641,161,,CO,True
642,161,,HC,True
643,161,,LE,True
644,161,,O2,True
645,162,1245,CO,True
646,162,,HS,True
647,162,151,LE,True
648,162,700,O2,True
649,163,1246,CO,True
650,163,1788,HC,True
651,163,152,LE,True
652,163,701,O2,True
653,164,1247,CO,True
654,164,1789,HC,True
655,164,153,LE,True
656,164,702,O2,True
657,165,1248,CO,True
658,165,1790,HC,True
659,165,154,LE,True
660,165,703,O2,True
661,166,1249,CO,True
662,166,1791,HC,True
663,166,155,LE,True
664,166,704,O2,True
665,167,1250,CO,True
666,167,1792,HC,True
667,167,156,LE,True
668,167,705,O2,True
669,168,1251,CO,True
670,168,,HC,True
671,168,157,LE,True
672,168,706,O2,True
673,169,,CO,True
674,169,,HC,True
675,169,,LE,True
676,169,,O2,True
677,170,1252,CO,True
678,170,1793,HC,True
