id,app_label,model
1,admin,logentry
2,auth,group
3,auth,permission
4,auth,user
5,contenttypes,contenttype
6,sessions,session
7,inventory,cylinder
8,inventory,cylinderfault
9,inventory,cylindertype
10,inventory,detector
11,inventory,detectorfault
12,inventory,detectormodel
13,inventory,detectormodelconfiguration
14,inventory,location
15,inventory,locationdetectorslot
16,inventory,maintenance
17,inventory,maintenancetask
18,inventory,sensor
19,inventory,sensorslot
20,inventory,sensortype
