id,app,name,applied
1,contenttypes,0001_initial,2026-05-21 06:48:27.564116
2,auth,0001_initial,2026-05-21 06:48:27.604441
3,admin,0001_initial,2026-05-21 06:48:27.639932
4,admin,0002_logentry_remove_auto_add,2026-05-21 06:48:27.666152
5,admin,0003_logentry_add_action_flag_choices,2026-05-21 06:48:27.686337
6,contenttypes,0002_remove_content_type_name,2026-05-21 06:48:27.734088
7,auth,0002_alter_permission_name_max_length,2026-05-21 06:48:27.755189
8,auth,0003_alter_user_email_max_length,2026-05-21 06:48:27.776470
9,auth,0004_alter_user_username_opts,2026-05-21 06:48:27.798115
10,auth,0005_alter_user_last_login_null,2026-05-21 06:48:27.815850
11,auth,0006_require_contenttypes_0002,2026-05-21 06:48:27.823784
12,auth,0007_alter_validators_add_error_messages,2026-05-21 06:48:27.838916
13,auth,0008_alter_user_username_max_length,2026-05-21 06:48:27.856570
14,auth,0009_alter_user_last_name_max_length,2026-05-21 06:48:27.876437
15,auth,0010_alter_group_name_max_length,2026-05-21 06:48:27.894210
16,auth,0011_update_proxy_permissions,2026-05-21 06:48:27.910664
17,auth,0012_alter_user_first_name_max_length,2026-05-21 06:48:27.928693
18,inventory,0001_initial,2026-05-21 06:48:28.177430
19,sessions,0001_initial,2026-05-21 06:48:28.210021
