id,label,serial,status,purchase_date,purchase_cost,firmware,notes,detector_model_id,configuration_id,location_id
1,PGM001,M03140482221,OP,,,,,1,1,8
2,PGM002,M03140483421,OP,,,,,1,1,96
3,PGM003,M03140478221,OP,,,,,1,1,109
4,PGM004,M03140482121,OP,,,,,1,1,95
5,PGM005,XXX-00001,OP,,,,,1,1,110
6,PGM006,M03140483021,OP,,,,,1,1,106
7,PGM007,M03140483721,OP,,,,,1,1,95
8,PGM008,M03140424621,OP,,,,,1,1,95
9,PGM009,M03140421421,OP,,,,,1,1,111
10,PGM010,M03140417521,OP,,,,,1,1,95
11,PGM011,M03140435521,OP,,,,,1,1,95
12,PGM012,M03140453821,OP,,,,,1,1,98
13,PGM013,M03140476821,OP,,,,,1,1,95
14,PGM014,M03140428621,OP,,,,,1,1,95
15,PGM015,M03140419621,OP,,,,,1,1,103
16,PGM016,M03140415621,OP,,,,,1,1,112
17,PGM017,M03140480621,OP,,,,,1,1,98
18,PGM018,M03140426521,OP,,,,,1,1,95
19,PGM019,M03140427321,OP,,,,,1,1,95
20,PGM020,M03140424021,OP,,,,,1,2,95
21,PGM021,M03140414321,OP,,,,,1,1,95
22,PGM022,M03140427721,OP,,,,,1,1,95
23,PGM023,M03140423221,OP,,,,,1,1,19
24,PGM024,M03140478421,OP,,,,,1,1,95
25,PGM025,M03140477421,OP,,,,,1,1,98
26,PGM026,M03140479321,OP,,,,,1,1,95
27,PGM027,M03140453221,OP,,,,,1,1,95
28,PGM028,M03140449521,OP,,,,,1,1,95
29,PGM029,M03140414621,OP,,,,,1,1,95
30,PGM030,M03240423721,OP,,,,,1,1,95
31,PGM031,M03140477821,OP,,,,,1,1,95
32,PGM032,M03140456021,OP,,,,,1,1,95
33,PGM033,M03140420421,OP,,,,,1,1,40
34,PGM034,M03140453121,OP,,,,,1,1,95
35,PGM035,M03140429521,OP,,,,,1,1,111
36,PGM036,M03140415321,OP,,,,,1,1,95
37,PGM037,M03140483521,OP,,,,,1,1,95
