id,report_dt,reported_by,status,fault_type,submit_notes,resolved_by,resolve_dt,resolve_notes,detector_id,report_location_id
1,2026-03-23,reg 12297,CL,BF,Failed HCN bump x 2,Wal,2026-03-23,Serviced and Calibrated,236,98
2,2026-03-24,Simon Taylor,CL,BF,Failed HCN bump,Wally,2026-03-24,"Inspected Unit. Calibrated, Verified OK.",460,106
3,2026-03-25,WALLY,CL,SF,CO Sensor would not span cal.,Wally,2026-03-26,Replaced Sensor (warranty) Cal'd unit all ok.,660,95
4,2026-03-20,LFF CURRAN,CL,BF,HCN FAILED BUMP X 2,Wally,2026-03-26,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",9,11
5,2026-03-16,d.phillips,CL,SF,"LEL high reading, will not zero.",Wally,2026-03-26,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",474,1
6,2026-03-14,LFFMACKEY,CL,BF,FAILED BUMP X 2,Wally,2026-03-26,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",220,36
7,2026-03-25,LFF MURTACH,CL,BF,DUE FOR CAL,Wally,2026-03-26,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",302,18
8,2026-03-25,FF ENSTACK,CL,SF,STUCK IN LEL,Wally,2026-03-26,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",583,9
9,2026-03-25,LFF ENSTEAC,CL,SF,LEL IN ALARM,Wally,2026-03-26,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",583,9
10,2026-03-25,QFF STEPHENS,CL,BF,HCN FAILED X 2 BUMP TESTS,Wally,2026-03-26,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",193,40
11,2026-03-18,SO DAMMOUS,CL,BF,FAILED HCN X 2 BUMPS,Wally,2026-03-26,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",181,46
12,2026-03-12,FS31,CL,BF,HCN FAILED BUMP X 2,Wally,2026-03-26,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",148,29
13,2026-03-24,Conner,CL,WS,Will not indentify in Cal dock,Wally,2026-03-26,Found Ribbon loose on board. Re-attached and all ok now.,446,98
14,2026-03-18,Ruby,CL,DE,Wrong Date/Time,Wally,2026-03-27,Updated Config setting.,623,89
15,2026-03-10,fs 02,CL,WS,"Wont turn on, charged all day",Wally,2026-03-30,Battery Repalced,42,98
16,2026-03-28,ROB,CL,DE,"UNIT STUCK IN ALARM, AND WILL NOT REGISTER IN DOCK",Wally,2026-03-30,"Found ribbon loose internally, re-attached and all ok.",87,2
17,2026-04-01,tom,OP,DE,not identifying in dock,,,,118,99
18,2026-04-01,??,CL,BF,failed bump x 2 HCN,Wally,2026-04-01,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",251,19
19,2026-04-01,???,CL,BF,FAILED BUMP X X 2 HCN,Wally,2026-04-01,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",129,27
20,2026-03-31,ash,CL,BF,failed bump x 2 HCN,Wally,2026-04-01,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",281,29
21,2026-04-01,??,CL,BF,Failed Bump x 2,Wally,2026-04-01,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",398,110
22,2026-04-01,Peter,CL,BF,Failed O2 bump and cal,Wally,2026-04-27,"Serviced Unit, Checked config, Cleaned pump, Replaced filters, All ok",608,89
23,2026-04-01,Moloney,CL,BF,Failed Bump x 2 HCN,Wally,2026-04-01,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",296,29
24,2026-04-01,llf donaldson,CL,CE,Cal due,Wally,2026-04-01,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",23,54
25,2026-04-08,??,CL,WS,WONT TURN ON,Wally,2026-04-08,REPLCED AGED BATTERY,33,6
