id,manufacturer,detector_type,supplier,label,part_number
1,HW,NM,AE,MicroRAE,
2,HW,PM,AE,MultiRAE,
3,HW,PI,AE,MiniRAE 3000,
4,HW,PI,AE,ppbRAE 3000,
5,HW,RM,AE,RAELink Mesh,
6,HW,RM,AE,RAELink,
7,HW,AM,AE,AreaRAE Plus,
8,MI,DI,AE,DMC 3000,
9,HE,SM,,Cypher 5000,
10,AU,NM,,6150 ad-t,
11,DE,LT,,Dell 5430,
12,MI,DI,AE,MiniRadiac,
13,HW,CS,AE,AutoRAE Controller,
14,HW,CS,AE,AutoRAE MicroRAE,
15,SM,IM,AE,LCD3.3,
16,PR,FP,AE,AP4C,
17,TS,PC,AE,DustTrak,
18,IN,GC,,Hapsite,
21,MS,PM,MS,ALTAIR 5X,
22,DR,PM,DR,XAM8000,8325800
