id,label,sensor_gases,detector_model_id
1,Standard,"CO,HC,LE,O2",1
2,Rescue,"CO,HS,LE,O2",1
3,Yellow,"CO,HS,LE,O2",2
4,Red,"CL,NH,PH,LE,O2",2
5,Blue,"HC,NO,SO,LE,O2",2
6,Black,"CO,VO,HS,LE,O2",2
7,Standard,VO,3
8,Standard,VO,4
9,Standard,,5
10,Standard,,6
11,Standard,"CO,HS,LE,O2",7
12,Standard,,8
13,Standard,,10
14,Standard,,9
15,Standard,,11
16,Standard,,12
17,Standard,,13
18,Standard,,14
19,Orange,"CO,HS,LE,O2,VO",21
20,Green,"LE,O2,VO,HC",21
21,TOXIC,"HC,CL,PH",22
22,FIRE,"SO,NO,C2",22
23,VOLATILE,NH,22
