id,label,address,location_type,station,priority
1,FS01,"456 Albert St, East Melbourne 3002",ST,Eastern Hill,1
2,FS02,"60 Batman St, West Melbourne 3003",ST,West Melbourne,1
3,FS03,"106 Bouverie St, Carlton 3053",ST,Carlton,1
4,FS04,"24 Blyth St, Brunswick 3056",ST,Brunswick,1
5,FS05,"338 Camp Rd, Broadmeadows 3047",ST,Broadmeadows,1
6,FS06,"345A Gaffney St, Pascoe Vale 3044",ST,Pascoe Vale,1
7,FS07,"92 Mahoneys Rd, Thomastown 3074",ST,Thomastown,1
8,FS09,"10 Somerton Park Drive, Campbellfield 3061",ST,Somerton,1
9,FS10,"55 Church St, Richmond 3121",ST,Richmond,1
10,FS11,"28 Childs Rd, Epping 3076",ST,Epping,1
11,FS12,"471 Bell St, Preston 3072",ST,Preston,1
12,FS13,"3 Mitchell St, Northcote 3070",ST,Northcote,1
13,FS14,"1083 Plenty Rd, Bundoora 3083",ST,Bundoora,1
14,FS15,"161 Bell St, Heidelberg 3084",ST,Heidelberg,1
15,FS16,"141 Grimshaw St, Greensborough 3088",ST,Greensborough,1
16,FS17,Not yet established,ST,Donnybrook,1
17,FS18,"45 William St, Hawthorn 3122",ST,Hawthorn,1
18,FS19,"312 Doncaster Rd, North Balwyn 3104",ST,North Balwyn,1
19,FS20,"1052 Maroondah Hwy, Box Hill 3128",ST,Box Hill,1
20,FS22,"272 Maroondah Hwy, Ringwood 3134",ST,Ringwood,1
21,FS23,"25 Highbury Rd, Burwood 3125",ST,Burwood,1
22,FS24,"1721 Malvern Rd, Glen Iris 3146",ST,Glen Iris (Malvern),1
23,FS25,"100 Atherton Rd, Oakleigh 3166",ST,Oakleigh,1
24,FS26,"306 Dorset Rd, Croydon 3136",ST,Croydon,1
25,FS27,"364 Maroondah Hwy, Nunawading 3131",ST,Nunawading,1
26,FS28,"721 Highbury Rd, Vermont South 3133",ST,Vermont South,1
27,FS29,"529 Clayton Rd, Clayton 3169",ST,Clayton,1
28,FS30,"40 Serpells Rd, Templestowe 3106",ST,Templestowe,1
29,FS31,"645 Ferntree Gully Rd, Glen Waverley 3150",ST,Glen Waverley,1
30,FS32,"311 North Rd, Caulfield South 3162",ST,Ormond,1
31,FS33,"103 Nepean Hwy, Mentone 3194",ST,Mentone,1
32,FS34,"150 Wickham Rd, Highett 3190",ST,Highett,1
33,FS35,"156 Albert St, Windsor 3181",ST,Windsor,1
34,FS38,"26 Moray St, South Melbourne 3205",ST,South Melbourne,2
35,FS39,"448 Graham St, Port Melbourne 3207",ST,Port Melbourne,1
36,FS40,"5 Epsom St, Laverton 3028",ST,Laverton,1
37,FS41,"9 Taylors Rd, St Albans 3021",ST,St Albans,1
38,FS42,"231 Melbourne Rd, Newport 3015",ST,Newport,1
39,FS43,"780A Ballarat Rd, Deer Park 3023",ST,Deer Park,1
40,FS44,"30 McIntyre Rd, Sunshine 3020",ST,Sunshine,1
41,FS45,"29 Millers Rd, Brooklyn VIC 3012",ST,Brooklyn,1
42,FS46,"7 Akuna St, Altona 3018",ST,Altona,1
43,FS47,"69 Droop St, Footscray 3011",ST,Footscray,1
44,FS48,"470 Melton Hwy, Taylors Lakes 3038",ST,Taylors Lakes,1
45,FS50,"258 Union Rd, Moonee Ponds 3039",ST,Ascot Vale,1
46,FS51,"145 Milleara Rd, East Keilor 3033",ST,Keilor,1
47,FS52,"1 Western Ave, Tullamarine 3043",ST,Tullamarine,1
48,FS53,"144 Gap Rd, Sunbury 3429",ST,Sunbury,1
49,FS54,"33 Barrymore Rd, Greenvale 3059",ST,Greenvale,1
50,FS55,"8-10 Caroline Springs Bvd, Caroline Springs 3012",ST,Caroline Springs,1
51,FS56,"40-44 Henry St, Melton 3337",ST,Melton,1
52,FS57,"417 Derrimut Rd, Tarneit 3029",ST,Tarneit,1
53,FS58,"85-93 Dunnings Rd, Point Cook 3030",ST,Point Cook,1
54,FS59,"337 Fitzgerald Road, Derrimut VIC 3026",ST,Derrimut,1
55,FS61,"25 Mill Rd, Lara 3212 (PO Box 15 Lara Vic 3212)",ST,Lara,2
