id,maintenance_type,status,date_due,date_performed,performed_by,notes,detector_id
1,SV,SC,2026-03-18,,,,1
2,SV,SC,2026-07-14,,,,2
3,SV,SC,2026-01-29,,,,3
4,SV,SC,2026-06-17,,,,4
5,SV,CL,2025-11-13,2026-03-04,,,6
6,SV,SC,2026-05-20,,,,7
7,SV,SC,2026-08-07,,,,8
8,SV,CL,2025-11-26,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",9
9,SV,SC,2026-05-20,,,,10
10,SV,SC,2026-08-06,,,,11
11,SV,SC,2025-07-10,,,,12
12,SV,CL,2025-08-25,2026-02-19,,,14
13,SV,CL,2026-03-16,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",15
14,SV,SC,2025-11-13,,,,16
15,SV,SC,2026-03-30,,,,17
16,SV,SC,2026-03-16,,,,18
17,SV,SC,2026-05-20,,,,19
18,SV,SC,2026-04-23,,,,20
19,SV,SC,2026-05-26,,,,21
20,SV,SC,2026-09-02,,,,22
21,SV,CL,2026-03-16,2026-04-01,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",23
22,SV,SC,2026-04-22,,,,24
23,SV,CL,2026-03-18,2026-02-23,,,25
24,SV,SC,2026-02-06,,,,26
25,SV,SC,2026-07-28,,,,27
26,SV,SC,2026-05-20,,,,28
27,SV,SC,2026-04-27,,,,29
28,SV,SC,2026-04-06,,,,30
29,SV,SC,2026-04-27,,,,32
30,SV,CL,2025-11-14,2026-04-08,,"Serviced Unit, Checked Config, Calibrated, all Ok",33
31,SV,SC,2026-02-06,,,,34
32,SV,SC,2026-05-17,,,,35
33,SV,CL,2026-01-29,2026-02-19,,,36
34,SV,CL,2025-08-10,2026-04-13,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",37
35,SV,CL,2025-09-24,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",38
36,SV,SC,2026-02-06,,,,39
37,SV,SC,2026-06-29,,,,40
38,SV,SC,2025-07-10,,,,41
39,SV,SC,2026-07-14,,,,42
40,SV,SC,2026-07-28,,,,43
41,SV,SC,2026-04-21,,,,44
42,SV,CL,2026-04-28,2026-03-12,,,45
43,SV,SC,2026-01-31,,,,46
44,SV,SC,2026-07-14,,,,47
45,SV,SC,2026-08-25,,,,49
46,SV,SC,2026-08-09,,,,50
47,SV,SC,2026-04-28,,,,53
48,SV,CL,2025-09-25,2026-04-23,,"REPLACED 02 & HCN SENSOR, SERVICED UNIT, CALILBRATED, CHECKED CONFIG ALL OK",54
49,SV,SC,2026-07-19,,,,55
50,SV,SC,2026-07-19,,,,57
