id,task_type,maintenance_id
1,CB,466
2,FC,466
3,CB,636
4,CB,638
5,CB,170
6,BT,170
7,BT,640
8,CB,165
9,BT,642
10,CB,133
12,BT,647
13,CB,252
14,BT,649
15,CB,35
16,BT,652
17,CB,185
18,BT,655
19,CB,301
20,BT,658
21,CB,331
22,BT,661
23,BT,663
24,CB,371
25,BT,666
26,CB,266
28,BT,669
29,CB,13
30,BT,672
31,BT,674
32,CB,346
33,BT,677
34,BT,678
35,CB,8
36,CB,406
37,BT,682
38,CB,179
39,CB,244
40,CB,686
42,CB,155
43,BT,689
44,CB,691
45,CB,121
46,BT,693
47,CB,125
48,CB,501
49,CB,467
50,CB,495
51,CB,378
52,BT,700
53,BT,702
54,BT,704
55,BT,706
56,BT,708
57,CB,480
58,CB,481
59,BT,712
60,CB,105
61,CB,505
62,CB,238
63,CB,249
64,CB,21
66,CB,181
67,CB,225
68,CB,67
69,CB,725
70,CB,407
71,CB,72
72,CB,70
73,CB,327
74,CB,390
75,CB,479
76,CB,417
77,CB,279
78,CB,418
79,CB,420
80,CB,30
82,BT,739
83,CB,62
84,CB,382
85,CB,634
86,CB,448
87,CB,85
88,CB,235
89,CB,73
90,CB,58
91,CB,314
92,BT,750
93,BT,752
94,CB,339
95,CB,261
96,CB,163
97,CB,385
98,CB,308
99,CB,246
100,CB,413
101,CB,61
102,CB,34
103,CB,515
104,CB,502
105,CB,498
106,CB,503
107,CB,500
108,CB,356
109,CB,516
110,CB,48
111,CB,142
112,CB,625
113,CB,347
114,CB,428
115,CB,767
116,CB,776
117,CB,778
118,CB,622
119,CB,465
120,CB,478
121,CB,473
122,CB,488
123,CB,483
124,BT,786
125,BT,788
126,BT,790
127,BT,792
128,BT,794
129,BT,796
130,BT,798
131,BT,800
132,BT,802
133,BT,804
134,BT,806
135,BT,808
136,BT,810
137,CB,282
138,SN,282
139,BT,282
140,CB,471
141,CB,474
142,CB,815
143,CB,497
144,CB,818
145,CB,819
146,CB,475
147,CB,710
148,CB,509
149,CB,514
150,CB,825
151,CB,511
152,CB,464
153,RP,464
154,FC,464
155,CB,472
156,CB,697
157,FC,697
158,RP,697
159,CB,831
160,CB,785
161,CB,484
162,FC,484
163,CB,446
164,FC,446
165,CB,836
166,FC,836
167,CB,838
168,FC,838
169,CB,840
170,FC,840
171,CB,842
172,FC,842
173,CB,844
174,FC,844
175,CB,846
176,CB,848
177,CB,850
178,CB,490
179,FC,490
180,CB,485
181,FC,485
182,CB,454
183,CB,470
184,SN,470
185,FC,470
186,CB,491
187,FC,491
188,CB,487
189,FC,487
190,CB,858
191,CB,860
192,CB,862
193,CB,864
194,FC,864
195,CB,866
196,FC,866
197,CB,868
198,FC,868
199,CB,870
200,FC,870
201,CB,872
202,FC,872
203,CB,874
204,FC,874
205,CB,876
206,FC,876
207,CB,878
208,FC,878
209,CB,880
210,SN,880
211,FC,880
212,CB,496
213,FC,496
214,CB,765
215,CB,763
216,FC,763
217,CB,766
218,FC,766
219,CB,764
220,FC,764
