id,sensorgas,detector_id,sensor_id
1,CO,1,1095
2,HC,1,1641
3,LE,1,1
4,O2,1,551
5,CO,2,1096
6,HC,2,1642
7,LE,2,2
8,O2,2,552
9,CO,3,1097
10,HC,3,1643
11,LE,3,3
12,O2,3,553
13,CO,4,1098
14,HC,4,1644
15,LE,4,4
16,O2,4,554
17,CO,5,
18,HC,5,
19,LE,5,
20,O2,5,
21,CO,6,1099
22,HC,6,1645
23,LE,6,5
24,O2,6,555
25,CO,7,1100
26,HC,7,1646
27,LE,7,6
28,O2,7,556
29,CO,8,2458
30,HC,8,2453
31,LE,8,2457
32,O2,8,557
33,CO,9,1102
34,HC,9,1648
35,LE,9,8
36,O2,9,558
37,CO,10,1103
38,HC,10,1649
39,LE,10,9
40,O2,10,559
41,CO,11,1104
42,HC,11,1650
43,LE,11,10
44,O2,11,560
45,CO,12,1105
46,HC,12,1651
47,LE,12,11
48,O2,12,561
49,CO,13,1106
50,HC,13,1652
51,LE,13,12
52,O2,13,562
53,CO,14,1107
54,HC,14,1653
55,LE,14,13
56,O2,14,563
57,CO,15,1108
58,HC,15,1654
59,LE,15,14
60,O2,15,564
61,CO,16,1109
62,HC,16,1655
63,LE,16,15
64,O2,16,565
65,CO,17,1110
66,HC,17,1656
67,LE,17,16
68,O2,17,566
69,CO,18,2488
70,HC,18,2489
71,LE,18,2487
72,O2,18,567
73,CO,19,1112
74,HC,19,1658
75,LE,19,18
76,O2,19,568
77,CO,20,1113
78,HS,20,
79,LE,20,19
80,O2,20,569
81,CO,21,1114
82,HC,21,1659
83,LE,21,20
84,O2,21,570
85,CO,22,1115
86,HC,22,1660
87,LE,22,21
88,O2,22,571
89,CO,23,1116
90,HC,23,1661
91,LE,23,22
92,O2,23,572
93,CO,24,1117
94,HC,24,1662
95,LE,24,23
96,O2,24,573
97,CO,25,1118
98,HC,25,1663
99,LE,25,24
100,O2,25,574
101,CO,26,1119
102,HC,26,1664
103,LE,26,25
104,O2,26,575
105,CO,27,1120
106,HC,27,1665
107,LE,27,26
108,O2,27,576
109,CO,28,1121
110,HC,28,1666
111,LE,28,27
112,O2,28,577
113,CO,29,1122
114,HC,29,1667
115,LE,29,28
116,O2,29,578
117,CO,30,1123
118,HC,30,1668
119,LE,30,29
120,O2,30,579
121,CO,31,
122,HC,31,
123,LE,31,
124,O2,31,
125,CO,32,1124
126,HC,32,1669
127,LE,32,30
128,O2,32,580
129,CO,33,1125
130,HC,33,1670
131,LE,33,31
132,O2,33,581
133,CO,34,1126
134,HC,34,1671
135,LE,34,32
136,O2,34,582
137,CO,35,1127
138,HC,35,1672
139,LE,35,33
140,O2,35,583
141,CO,36,1128
142,HC,36,1673
143,LE,36,34
144,O2,36,584
145,CO,37,1129
146,HC,37,1674
147,LE,37,35
148,O2,37,585
149,CO,38,1130
150,HC,38,1675
151,LE,38,36
152,O2,38,586
153,CO,39,1131
154,HC,39,1676
155,LE,39,37
156,O2,39,587
157,CO,40,1132
158,HC,40,1677
159,LE,40,38
160,O2,40,588
161,CO,41,1133
162,HC,41,1678
163,LE,41,39
164,O2,41,589
165,CO,42,1134
