id,manufacturer,part_number,active,sensorgas,compatible_detectormodels,warranty_months,expiry_months
1,HW,014-0600-000,1,LE,MicroRAE,25,25
2,HW,022-0617-000,1,O2,MicroRAE,25,25
3,HW,032-0600-001,1,CO,MicroRAE,25,25
4,HW,032-0616-000,1,HC,MicroRAE,13,19
5,HW,032-0601-002,1,HS,MicroRAE,25,25
6,HW,C03-0911-000,1,LE,"MultiRAE,AreaRAE Plus",25,25
7,HW,C03-0908-000,1,O2,"MultiRAE,AreaRAE Plus",25,25
8,HW,C03-0950-000,1,NH,MultiRAE,13,13
9,HW,C03-0906-000,1,CO,"MultiRAE,AreaRAE Plus",25,25
10,HW,C03-0978-000,1,CL,MultiRAE,13,25
11,HW,C03-0949-000,1,HC,MultiRAE,13,25
12,HW,C03-0907-000,1,HS,"MultiRAE,AreaRAE Plus",25,25
13,HW,C03-0975-000,1,NO,MultiRAE,13,25
14,HW,C03-0976-000,1,PH,MultiRAE,13,13
15,HW,C03-0973-100,1,SO,MultiRAE,13,25
16,HW,C03-0912-002,1,VO,MultiRAE,13,13
17,HW,C03-0913-000,1,CS,MultiRAE,13,13
18,HW,C03-0912-010,1,VO,AreaRAE Plus,7,13
19,HW,050-0000-004,1,VO,"MiniRAE 3000,ppbRAE 3000",13,13
20,MS,10106725,1,CS,Altair 5x,,
21,MS,10106722,1,LE,Altair 5x,,
22,MS,10106375,1,HC,Altair 5x,,
23,MS,10106729,1,O2,Altair 5x,,
24,MS,10242735,1,VO,Altair 5x,,
25,HW,C03-0942-000,1,O2,MulitRAE,,
